Loading required package: R.oo
Loading required package: R.methodsS3
R.methodsS3 v1.8.1 (2020-08-26 16:20:06 UTC) successfully loaded. See ?R.methodsS3 for help.
R.oo v1.24.0 (2020-08-26 16:11:58 UTC) successfully loaded. See ?R.oo for help.

Attaching package: ‘R.oo’

The following object is masked from ‘package:R.methodsS3’:

    throw

The following objects are masked from ‘package:methods’:

    getClasses, getMethods

The following objects are masked from ‘package:base’:

    attach, detach, load, save

R.utils v2.10.1 (2020-08-26 22:50:31 UTC) successfully loaded. See ?R.utils for help.

Attaching package: ‘R.utils’

The following object is masked from ‘package:utils’:

    timestamp

The following objects are masked from ‘package:base’:

    cat, commandArgs, getOption, inherits, isOpen, nullfile, parse,
    warnings

── Attaching packages ─────────────────────────────────────── tidyverse 1.3.0 ──
✔ ggplot2 3.3.2     ✔ purrr   0.3.4
✔ tibble  3.0.4     ✔ dplyr   1.0.2
✔ tidyr   1.1.2     ✔ stringr 1.4.0
✔ readr   1.4.0     ✔ forcats 0.5.0
── Conflicts ────────────────────────────────────────── tidyverse_conflicts() ──
✖ tidyr::extract() masks R.utils::extract()
✖ dplyr::filter()  masks stats::filter()
✖ dplyr::lag()     masks stats::lag()
Loading required package: future
[16:27:12.959] (0.000s => +0.001s) initiate: 0/1062 (+0) '' {clear=TRUE, enabled=TRUE, status=}
[16:27:13.003] (0.000s => +0.045s) initiate: 0/1062 (+0) '' {clear=TRUE, enabled=TRUE, status=}
[16:27:19.903] (6.943s => +6.285s) update: 1/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0001.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:19.904] (6.901s => +6.286s) update: 1/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0001.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:20.109] (7.150s => +6.036s) update: 2/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0067.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:20.110] (7.107s => +6.037s) update: 2/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0067.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:20.315] (7.356s => +5.761s) update: 3/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0133.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:20.317] (7.314s => +5.763s) update: 3/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0133.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:20.522] (7.563s => +5.478s) update: 4/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0200.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:20.524] (7.521s => +5.480s) update: 4/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0200.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:20.729] (7.770s => +5.233s) update: 5/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0266.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:20.731] (7.728s => +5.234s) update: 5/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0266.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:20.934] (7.975s => +5.049s) update: 6/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0333.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:20.936] (7.933s => +5.050s) update: 6/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0333.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:21.142] (8.183s => +4.860s) update: 7/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0399.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:21.144] (8.141s => +4.861s) update: 7/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0399.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:21.350] (8.390s => +4.654s) update: 8/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0466.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:21.351] (8.348s => +4.655s) update: 8/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0466.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:21.556] (8.597s => +4.440s) update: 9/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0532.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:21.559] (8.556s => +4.442s) update: 9/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0532.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:21.764] (8.804s => +4.165s) update: 10/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0598.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:21.765] (8.762s => +4.166s) update: 10/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0598.xml' {clear=TRUE, enabled=TRUE, status=}
[16:27:21.980] (9.021s => +3.893s) update: 11/1062 (+1) 'data/raw/pubmed/xml/pubmed_baseline_2021/pubmed21n0665.xml' {clear=TRUE, enabled=TRUE, status=}
